,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
55,56,MemResp,1,56,55,55,0,YF,2,1,1,2,12,10,9,11,4,3,2,5,a,2,1,0,0,0,1093,49
56,57,MemResp,1,57,56,56,0,OF,2,2,0,4,12,10,9,12,4,3,2,5,s,2,1,0,0,0,1016,49
57,58,MemResp,1,58,57,57,0,YF,2,1,1,2,12,11,9,12,4,3,2,5,l,2,0,0,0,1,1118,49
58,59,MemResp,1,59,58,58,0,YF,2,1,1,2,12,12,9,12,4,3,2,5,s,2,1,0,0,0,1257,49
59,60,MemResp,1,60,59,59,0,YF,2,1,1,2,12,13,9,12,4,3,2,5,l,2,0,0,0,1,1215,49
60,61,MemResp,1,61,60,60,0,OM,1,2,1,3,12,13,10,12,4,3,2,5,a,2,1,0,0,0,763,49
61,62,MemResp,1,62,61,61,0,YF,2,1,1,2,12,14,10,12,4,3,2,5,s,2,1,0,0,0,1059,49
62,63,MemResp,1,63,62,62,0,OM,1,2,1,3,12,14,11,12,4,3,2,5,k,2,0,0,0,1,1373,49
63,64,MemResp,1,64,63,63,0,OM,1,2,1,3,12,14,12,12,4,3,2,5,l,2,0,0,0,1,1458,49
64,65,MemResp,1,65,64,64,0,OF,2,2,0,4,12,14,12,13,4,3,2,5,s,2,1,0,0,0,1207,49
65,66,MemResp,1,66,65,65,0,YM,1,1,0,1,13,14,12,13,4,3,2,5,s,2,1,0,0,0,1476,49
66,67,MemResp,1,67,66,66,0,OM,1,2,0,11,13,14,12,13,4,3,3,5,k,1,0,0,1,0,1523,49
67,68,MemResp,1,68,67,67,0,YF,2,1,0,10,13,14,12,13,4,4,3,5,k,1,0,0,1,0,1309,49
68,69,MemResp,1,69,68,68,0,OF,2,2,0,4,13,14,12,14,4,4,3,5,s,2,1,0,0,0,1196,49
