,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
170,515,SourceMemShapeResp,6,171,84,170,1,NL,2,15,4,31,32,32,32,11,11,11,11,a,a,1,1102,2,57
171,516,SourceMemShapeResp,6,172,85,171,1,NL,2,,4,32,32,32,32,11,11,11,11,a,s,0,730,"2
Filler",57
0,345,SourceMemShapeResp,7,1,0,0,0,NL,2,2,,1,0,0,0,0,0,0,0,A,s,0,1928,1,58
1,346,SourceMemShapeResp,7,2,1,1,0,NS,2,7,3,1,1,0,0,0,0,0,0,A,a,0,731,2,58
2,347,SourceMemShapeRespITI,7,3,2,2,0,NS,2,8,3,1,2,0,0,0,0,0,0,J,s,0,731,2,58
3,348,SourceMemShapeResp,7,4,3,3,0,NL,2,4,3,2,2,0,0,0,0,0,0,A,s,0,1542,2,58
4,349,SourceMemShapeRespITI,7,5,4,4,0,MS,1,2,3,2,2,0,0,0,0,1,0,J,0,0,1542,0,58
5,350,SourceMemShapeRespITI,7,6,5,5,0,NL,2,2,2,3,2,0,0,0,0,1,0,K,s,0,1542,2,58
6,351,SourceMemShapeResp,7,7,6,6,0,NL,2,2,2,4,2,0,0,0,0,1,0,A,s,0,1210,1,58
7,352,SourceMemShapeResp,7,8,7,7,0,NS,2,7,2,4,3,0,0,0,0,1,0,A,a,0,1565,1,58
8,353,SourceMemShapeResp,7,9,8,8,0,ML,2,9,2,4,3,1,0,0,0,1,0,S,a,0,1303,1,58
9,354,SourceMemShapeResp,7,10,9,9,0,NL,1,15,2,4,3,1,0,0,1,1,0,A,0,0,1339,0,58
10,355,SourceMemShapeResp,7,11,10,10,0,MS,2,15,2,4,3,1,1,0,1,1,0,S,a,0,970,1,58
11,356,SourceMemShapeResp,7,12,11,11,0,NS,2,5,2,4,4,1,1,0,1,1,0,S,a,0,1340,1,58
12,357,SourceMemShapeResp,7,13,12,12,0,NS,2,7,2,4,5,1,1,0,1,1,0,A,a,0,1315,1,58
13,358,SourceMemShapeResp,7,14,13,13,0,NL,1,13,2,4,5,1,1,0,2,1,0,A,0,0,1189,0,58
14,359,SourceMemShapeResp,7,15,14,14,0,MS,2,13,3,4,5,1,2,0,2,1,0,A,a,0,1130,1,58
15,360,SourceMemShapeResp,7,16,15,15,0,MS,1,13,3,4,5,1,2,0,2,2,0,A,0,0,1426,0,58
16,361,SourceMemShapeResp,7,17,16,16,0,MS,2,13,2,4,5,1,3,0,2,2,0,A,a,0,721,2,58
17,362,SourceMemShapeResp,7,18,17,17,0,NL,2,4,2,5,5,1,3,0,2,2,0,S,s,0,1400,1,58
18,363,SourceMemShapeResp,7,19,18,18,0,NL,1,1,2,5,5,1,3,0,3,2,0,A,0,0,855,0,58
19,364,SourceMemShapeResp,7,20,19,19,0,NL,2,1,2,6,5,1,3,0,3,2,0,A,a,0,1338,2,58
20,365,SourceMemShapeResp,7,21,20,20,0,MS,2,14,2,6,5,1,4,0,3,2,0,A,s,0,1905,2,58
21,366,SourceMemShapeResp,7,22,21,21,0,MS,2,16,2,6,5,1,5,0,3,2,0,A,s,0,986,1,58
22,367,SourceMemShapeResp,7,23,22,22,0,NL,1,13,2,6,5,1,5,0,4,2,0,S,0,0,1584,0,58
23,368,SourceMemShapeResp,7,24,23,23,0,MS,1,13,3,6,5,1,5,0,4,3,0,S,0,0,868,0,58
24,369,SourceMemShapeResp,7,25,24,24,0,MS,2,13,2,6,5,1,6,0,4,3,0,S,a,0,1254,2,58
25,370,SourceMemShapeResp,7,26,25,25,0,ML,2,12,2,6,5,2,6,0,4,3,0,A,s,0,1023,2,58
26,371,SourceMemShapeResp,7,27,26,26,0,NL,1,6,2,6,5,2,6,0,5,3,0,A,0,0,783,0,58
27,372,SourceMemShapeResp,7,28,27,27,0,NS,2,6,1,6,6,2,6,0,5,3,0,A,s,0,883,1,58
28,373,SourceMemShapeResp,7,29,28,28,0,NL,2,3,1,7,6,2,6,0,5,3,0,A,a,0,593,1,58
29,374,SourceMemShapeResp,7,30,29,29,0,NS,1,7,1,7,6,2,6,1,5,3,0,A,0,0,1195,0,58
30,375,SourceMemShapeResp,7,31,30,30,0,NS,1,7,1,7,6,2,6,2,5,3,0,A,0,0,1019,0,58
31,376,SourceMemShapeResp,7,32,31,31,0,NS,2,7,4,7,7,2,6,2,5,3,0,A,a,0,1226,1,58
32,377,SourceMemShapeResp,7,33,32,32,0,ML,2,9,4,7,7,3,6,2,5,3,0,S,a,0,1139,1,58
33,378,SourceMemShapeResp,7,34,33,33,0,NS,2,5,4,7,8,3,6,2,5,3,0,A,a,0,884,1,58
34,379,SourceMemShapeResp,7,35,34,34,0,NL,2,1,4,8,8,3,6,2,5,3,0,A,a,0,868,2,58
35,380,SourceMemShapeResp,7,36,35,35,0,NL,2,4,4,9,8,3,6,2,5,3,0,A,s,0,725,2,58
36,381,SourceMemShapeResp,7,37,36,36,0,NL,2,4,4,10,8,3,6,2,5,3,0,A,s,0,688,2,58
37,382,SourceMemShapeResp,7,38,37,37,0,MS,2,16,4,10,8,3,7,2,5,3,0,A,s,0,607,2,58
38,383,SourceMemShapeResp,7,39,38,38,0,NS,2,6,4,10,9,3,7,2,5,3,0,A,s,0,556,2,58
39,384,SourceMemShapeResp,7,40,39,39,0,ML,1,2,4,10,9,3,7,2,5,3,1,A,0,0,1077,0,58
40,385,SourceMemShapeResp,7,41,40,40,0,NL,2,2,3,11,9,3,7,2,5,3,1,A,s,0,820,2,58
41,386,SourceMemShapeResp,7,42,41,41,0,MS,1,12,3,11,9,3,7,2,5,4,1,A,0,0,602,0,58
42,387,SourceMemShapeResp,7,43,42,42,0,ML,2,12,2,11,9,4,7,2,5,4,1,A,s,0,835,1,58
43,388,SourceMemShapeResp,7,44,43,43,0,ML,2,11,2,11,9,5,7,2,5,4,1,A,a,0,942,1,58
44,389,SourceMemShapeResp,7,45,44,44,0,NL,1,5,2,11,9,5,7,2,6,4,1,A,0,0,820,0,58
45,390,SourceMemShapeResp,7,46,45,45,0,MS,1,5,3,11,9,5,7,2,6,5,1,S,0,0,1538,0,58
46,391,SourceMemShapeResp,7,47,46,46,0,NS,2,5,1,11,10,5,7,2,6,5,1,A,a,0,959,2,58
47,392,SourceMemShapeResp,7,48,47,47,0,NS,2,8,1,11,11,5,7,2,6,5,1,S,s,0,893,1,58
48,393,SourceMemShapeResp,7,49,48,48,0,NL,2,1,1,12,11,5,7,2,6,5,1,A,a,0,1214,2,58
49,394,SourceMemShapeResp,7,50,49,49,0,ML,2,10,1,12,11,6,7,2,6,5,1,A,s,0,670,2,58
50,395,SourceMemShapeResp,7,51,50,50,0,ML,2,12,1,12,11,7,7,2,6,5,1,A,s,0,707,2,58
51,396,SourceMemShapeResp,7,52,51,51,0,NS,1,2,1,12,11,7,7,3,6,5,1,A,0,0,893,0,58
52,397,SourceMemShapeResp,7,53,52,52,0,NL,2,2,1,13,11,7,7,3,6,5,1,A,s,0,1174,1,58
53,398,SourceMemShapeResp,7,54,53,53,0,NL,2,3,1,14,11,7,7,3,6,5,1,A,a,0,1571,2,58
54,399,SourceMemShapeResp,7,55,54,54,0,MS,2,14,1,14,11,7,8,3,6,5,1,A,s,0,1038,1,58
55,400,SourceMemShapeResp,7,56,55,55,0,ML,2,11,1,14,11,8,8,3,6,5,1,A,a,0,697,1,58
56,401,SourceMemShapeResp,7,57,56,56,0,NS,2,5,1,14,12,8,8,3,6,5,1,A,a,0,851,1,58
57,402,SourceMemShapeResp,7,58,57,57,0,MS,2,15,1,14,12,8,9,3,6,5,1,A,a,0,947,2,58
58,403,SourceMemShapeResp,7,59,58,58,0,NS,2,8,1,14,13,8,9,3,6,5,1,A,s,0,1953,2,58
59,404,SourceMemShapeResp,7,60,59,59,0,MS,2,14,1,14,13,8,10,3,6,5,1,A,s,0,800,2,58
60,405,SourceMemShapeResp,7,61,60,60,0,ML,2,12,1,14,13,9,10,3,6,5,1,A,s,0,748,2,58
61,406,SourceMemShapeResp,7,62,61,61,0,MS,2,14,1,14,13,9,11,3,6,5,1,S,s,0,684,1,58
62,407,SourceMemShapeResp,7,63,62,62,0,ML,2,11,1,14,13,10,11,3,6,5,1,S,a,0,704,2,58
63,408,SourceMemShapeResp,7,64,63,63,0,ML,2,12,1,14,13,11,11,3,6,5,1,S,s,0,784,1,58
64,409,SourceMemShapeResp,7,65,64,64,0,NS,1,15,1,14,13,11,11,4,6,5,1,A,0,0,690,0,58
65,410,SourceMemShapeResp,7,66,65,65,0,MS,2,15,1,14,13,11,12,4,6,5,1,A,a,0,617,1,58
66,411,SourceMemShapeResp,7,67,66,66,0,NL,2,1,1,15,13,11,12,4,6,5,1,S,a,0,650,1,58
67,412,SourceMemShapeResp,7,68,67,67,0,NS,2,7,1,15,14,11,12,4,6,5,1,A,a,0,737,2,58
68,413,SourceMemShapeResp,7,69,68,68,0,NS,2,8,1,15,15,11,12,4,6,5,1,A,s,0,687,2,58
69,414,SourceMemShapeResp,7,70,69,69,0,NL,2,2,1,16,15,11,12,4,6,5,1,S,s,0,934,2,58
70,415,SourceMemShapeResp,7,71,70,70,0,ML,2,10,1,16,15,12,12,4,6,5,1,A,s,0,919,1,58
71,416,SourceMemShapeResp,7,72,71,71,0,MS,2,13,1,16,15,12,13,4,6,5,1,S,a,0,575,1,58
72,417,SourceMemShapeResp,7,73,72,72,0,NS,1,5,1,16,15,12,13,5,6,5,1,A,0,0,867,0,58
73,418,SourceMemShapeResp,7,74,73,73,0,ML,1,5,4,16,15,12,13,5,6,5,2,A,0,0,859,0,58
74,419,SourceMemShapeResp,7,75,74,74,0,NS,2,5,3,16,16,12,13,5,6,5,2,A,a,0,657,2,58
75,420,SourceMemShapeResp,7,76,75,75,0,MS,1,10,3,16,16,12,13,5,6,6,2,A,0,0,1243,0,58
76,421,SourceMemShapeRespITI,7,77,76,76,0,ML,2,10,4,16,16,13,13,5,6,6,2,J,s,0,1243,2,58
77,422,SourceMemShapeResp,7,78,77,77,0,NS,2,8,4,16,17,13,13,5,6,6,2,A,s,0,1328,1,58
78,423,SourceMemShapeResp,7,79,78,78,0,ML,1,15,4,16,17,13,13,5,6,6,3,A,0,0,674,0,58
79,424,SourceMemShapeRespITI,7,80,79,79,0,MS,2,15,2,16,17,13,14,5,6,6,3,0,a,0,674,1,58
80,425,SourceMemShapeResp,7,81,80,80,0,ML,2,9,2,16,17,14,14,5,6,6,3,A,a,0,1513,2,58
81,426,SourceMemShapeResp,7,82,81,81,0,NL,1,6,2,16,17,14,14,5,7,6,3,A,0,0,1003,0,58
82,427,SourceMemShapeResp,7,83,82,82,0,NS,2,6,1,16,18,14,14,5,7,6,3,A,s,0,935,1,58
