,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,PressCorrect,Accuracy,RT,ResponseMatrix,subject
104,277,SourceMemColorResp,2,105,18,104,1,NL,1,14,2,19,20,17,21,7,6,7,8,s,0,0,769,0,61
105,278,SourceMemColorResp,2,106,19,105,1,MS,2,14,4,19,20,17,22,7,6,7,8,a,a,1,496,2,61
106,279,SourceMemColorResp,2,107,20,106,1,ML,1,11,4,19,20,17,22,7,6,7,9,s,0,0,609,0,61
107,280,SourceMemColorResp,2,108,21,107,1,MS,1,11,3,19,20,17,22,7,6,8,9,s,0,0,479,0,61
108,281,SourceMemColorResp,2,109,22,108,1,NS,1,11,1,19,20,17,22,8,6,8,9,a,0,0,399,0,61
109,282,SourceMemColorResp,2,110,23,109,1,MS,1,11,3,19,20,17,22,8,6,9,9,a,0,0,441,0,61
110,283,SourceMemColorResp,2,111,24,110,1,ML,2,11,4,19,20,18,22,8,6,9,9,s,s,1,490,1,61
111,284,SourceMemColorResp,2,112,25,111,1,MS,2,14,4,19,20,18,23,8,6,9,9,s,a,0,1368,2,61
112,285,SourceMemColorResp,2,113,26,112,1,NS,2,8,4,19,21,18,23,8,6,9,9,a,s,0,696,2,61
113,286,SourceMemColorResp,2,114,27,113,1,ML,2,11,4,19,21,19,23,8,6,9,9,s,s,1,540,2,61
114,287,SourceMemColorResp,2,115,28,114,1,MS,2,15,4,19,21,19,24,8,6,9,9,a,s,0,715,1,61
115,288,SourceMemColorResp,2,116,29,115,1,ML,1,13,4,19,21,19,24,8,6,9,10,s,0,0,663,0,61
116,289,SourceMemColorResp,2,117,30,116,1,MS,2,13,2,19,21,19,25,8,6,9,10,s,a,0,681,2,61
117,290,SourceMemColorResp,2,118,31,117,1,MS,2,15,2,19,21,19,26,8,6,9,10,a,s,0,634,1,61
118,291,SourceMemColorResp,2,119,32,118,1,MS,2,13,2,19,21,19,27,8,6,9,10,a,a,1,692,1,61
119,292,SourceMemColorResp,2,120,33,119,1,NL,2,2,2,20,21,19,27,8,6,9,10,s,a,0,328,1,61
120,293,SourceMemColorResp,2,121,34,120,1,MS,2,14,2,20,21,19,28,8,6,9,10,a,a,1,448,2,61
121,294,SourceMemColorResp,2,122,35,121,1,NL,1,8,2,20,21,19,28,8,7,9,10,s,0,0,537,0,61
122,295,SourceMemColorResp,2,123,36,122,1,NS,2,8,1,20,22,19,28,8,7,9,10,s,s,1,1924,2,61
123,296,SourceMemColorResp,2,124,37,123,1,NS,2,8,1,20,23,19,28,8,7,9,10,a,s,0,440,2,61
124,297,SourceMemColorResp,2,125,38,124,1,NS,1,15,1,20,23,19,28,9,7,9,10,s,0,0,764,0,61
125,298,SourceMemColorResp,2,126,39,125,1,MS,2,15,4,20,23,19,29,9,7,9,10,a,s,0,633,2,61
126,299,SourceMemColorResp,2,127,40,126,1,NL,2,4,4,21,23,19,29,9,7,9,10,s,s,1,351,2,61
127,300,SourceMemColorResp,2,128,41,127,1,NL,2,3,4,22,23,19,29,9,7,9,10,s,s,1,359,1,61
128,301,SourceMemColorResp,2,129,42,128,1,NL,2,2,4,23,23,19,29,9,7,9,10,s,a,0,509,1,61
129,302,SourceMemColorResp,2,130,43,129,1,ML,1,10,4,23,23,19,29,9,7,9,11,s,0,0,481,0,61
130,303,SourceMemColorResp,2,131,44,130,1,ML,2,10,1,23,23,20,29,9,7,9,11,s,a,0,467,1,61
131,304,SourceMemColorResp,2,132,45,131,1,NS,1,2,1,23,23,20,29,10,7,9,11,a,0,0,580,0,61
132,305,SourceMemColorResp,2,133,46,132,1,MS,1,2,3,23,23,20,29,10,7,10,11,s,0,0,996,0,61
133,306,SourceMemColorResp,2,134,47,133,1,NL,2,2,1,24,23,20,29,10,7,10,11,a,a,1,410,1,61
134,307,SourceMemColorResp,2,135,48,134,1,NS,1,5,1,24,23,20,29,11,7,10,11,s,0,0,500,0,61
135,308,SourceMemColorResp,2,136,49,135,1,NS,2,5,2,24,24,20,29,11,7,10,11,s,a,0,337,2,61
136,309,SourceMemColorResp,2,137,50,136,1,NL,2,3,2,25,24,20,29,11,7,10,11,a,s,0,491,2,61
137,310,SourceMemColorResp,2,138,51,137,1,NS,2,7,2,25,25,20,29,11,7,10,11,a,s,0,1143,2,61
138,311,SourceMemColorResp,2,139,52,138,1,NL,2,3,2,26,25,20,29,11,7,10,11,s,s,1,412,1,61
139,312,SourceMemColorResp,2,140,53,139,1,ML,2,9,2,26,25,21,29,11,7,10,11,s,a,0,1414,1,61
140,313,SourceMemColorResp,2,141,54,140,1,ML,2,10,2,26,25,22,29,11,7,10,11,a,a,1,715,2,61
141,314,SourceMemColorResp,2,142,55,141,1,NL,2,4,2,27,25,22,29,11,7,10,11,a,s,0,660,1,61
142,315,SourceMemColorResp,2,143,56,142,1,ML,2,9,2,27,25,23,29,11,7,10,11,s,a,0,634,1,61
143,316,SourceMemColorResp,2,144,57,143,1,NS,2,5,2,27,26,23,29,11,7,10,11,s,a,0,1052,2,61
144,317,SourceMemColorResp,2,145,58,144,1,ML,2,12,2,27,26,24,29,11,7,10,11,a,s,0,592,2,61
145,318,SourceMemColorResp,2,146,59,145,1,NL,1,11,2,27,26,24,29,11,8,10,11,s,0,0,1144,0,61
146,319,SourceMemColorResp,2,147,60,146,1,MS,1,11,3,27,26,24,29,11,8,11,11,s,0,0,541,0,61
