,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,ObjectStimMatrix,StimSequence,NewStimMatrix,oldLLcounter,oldLScounter,oldNLcounter,oldNScounter,newLScounter,newLLcounter,newNScounter,newNLcounter,keyPressed,Mem,RT,Hit,FA,CR,Miss,subject
126,127,MemResp,3,127,40,126,1,MS,1,12,3,27,17,24,25,8,8,8,10,k,1,769,0,0,1,0,30
127,128,MemResp,3,128,41,127,1,ML,2,12,2,27,17,25,25,8,8,8,10,h,2,1110,1,0,0,0,30
128,129,MemResp,3,129,42,128,1,NL,1,9,2,27,17,25,25,8,9,8,10,l,1,784,0,0,1,0,30
129,130,MemResp,3,130,43,129,1,ML,2,9,2,27,17,26,25,8,9,8,10,k,2,1116,0,0,0,1,30
130,131,MemResp,3,131,44,130,1,NL,1,10,2,27,17,26,25,8,10,8,10,k,1,909,0,0,1,0,30
131,132,MemResp,3,132,45,131,1,MS,1,10,3,27,17,26,25,8,10,9,10,k,1,625,0,0,1,0,30
132,133,MemResp,3,133,46,132,1,ML,2,10,3,27,17,27,25,8,10,9,10,l,2,574,0,0,0,1,30
133,134,MemResp,3,134,47,133,1,NS,2,6,3,27,18,27,25,8,10,9,10,l,2,685,0,0,0,1,30
134,135,MemResp,3,135,48,134,1,NS,2,6,3,27,19,27,25,8,10,9,10,k,2,578,0,0,0,1,30
135,136,MemResp,3,136,49,135,1,ML,2,12,3,27,19,28,25,8,10,9,10,k,2,705,0,0,0,1,30
136,137,MemResp,3,137,50,136,1,NL,2,2,3,28,19,28,25,8,10,9,10,k,2,796,0,0,0,1,30
137,138,MemResp,3,138,51,137,1,NS,2,6,3,28,20,28,25,8,10,9,10,k,2,662,0,0,0,1,30
138,139,MemResp,3,139,52,138,1,MS,2,14,3,28,20,28,26,8,10,9,10,l,2,583,0,0,0,1,30
139,140,MemResp,3,140,53,139,1,NS,2,5,3,28,21,28,26,8,10,9,10,l,2,683,0,0,0,1,30
140,141,MemResp,3,141,54,140,1,MS,1,8,3,28,21,28,26,8,10,10,10,k,1,621,0,0,1,0,30
141,142,MemResp,3,142,55,141,1,NL,1,8,2,28,21,28,26,8,11,10,10,k,1,779,0,0,1,0,30
142,143,MemResp,3,143,56,142,1,NS,2,8,3,28,22,28,26,8,11,10,10,k,2,742,0,0,0,1,30
143,144,MemResp,3,144,57,143,1,MS,1,6,3,28,22,28,26,8,11,11,10,k,1,665,0,0,1,0,30
144,145,MemResp,3,145,58,144,1,NS,2,6,1,28,23,28,26,8,11,11,10,k,2,721,0,0,0,1,30
145,146,MemResp,3,146,59,145,1,ML,2,9,1,28,23,29,26,8,11,11,10,l,2,652,0,0,0,1,30
146,147,MemResp,3,147,60,146,1,MS,2,13,1,28,23,29,27,8,11,11,10,h,2,1330,1,0,0,0,30
147,148,MemResp,3,148,61,147,1,NS,1,16,1,28,23,29,27,9,11,11,10,j,1,1691,0,1,0,0,30
148,149,MemRespITI,3,149,62,148,1,MS,2,16,4,28,23,29,28,9,11,11,10,a,2,1691,0,0,0,0,30
149,150,MemResp,3,150,63,149,1,NS,2,5,4,28,24,29,28,9,11,11,10,j,2,1106,1,0,0,0,30
150,151,MemResp,3,151,64,150,1,NS,2,7,4,28,25,29,28,9,11,11,10,k,2,1024,0,0,0,1,30
151,152,MemResp,3,152,65,151,1,NL,2,1,4,29,25,29,28,9,11,11,10,k,2,1074,0,0,0,1,30
152,153,MemResp,3,153,66,152,1,NS,2,7,4,29,26,29,28,9,11,11,10,k,2,1206,0,0,0,1,30
153,154,MemResp,3,154,67,153,1,ML,1,1,4,29,26,29,28,9,11,11,11,k,1,720,0,0,1,0,30
154,155,MemResp,3,155,68,154,1,NL,2,1,1,30,26,29,28,9,11,11,11,k,2,1362,0,0,0,1,30
155,156,MemResp,3,156,69,155,1,NS,2,8,1,30,27,29,28,9,11,11,11,k,2,821,0,0,0,1,30
156,157,MemResp,3,157,70,156,1,MS,2,16,1,30,27,29,29,9,11,11,11,k,2,532,0,0,0,1,30
157,158,MemResp,3,158,71,157,1,ML,2,11,1,30,27,30,29,9,11,11,11,h,2,820,1,0,0,0,30
158,159,MemResp,3,159,72,158,1,NS,1,3,1,30,27,30,29,10,11,11,11,k,1,1691,0,0,1,0,30
159,160,MemResp,3,160,73,159,1,NL,2,3,1,31,27,30,29,10,11,11,11,k,2,980,0,0,0,1,30
160,161,MemResp,3,161,74,160,1,NS,2,8,1,31,28,30,29,10,11,11,11,h,2,1424,1,0,0,0,30
161,162,MemResp,3,162,75,161,1,ML,2,12,1,31,28,31,29,10,11,11,11,k,2,1363,0,0,0,1,30
162,163,MemResp,3,163,76,162,1,NS,2,6,1,31,29,31,29,10,11,11,11,k,2,1273,0,0,0,1,30
163,164,MemResp,3,164,77,163,1,NS,2,8,1,31,30,31,29,10,11,11,11,h,2,1174,1,0,0,0,30
164,165,MemRespITI,3,165,78,164,1,NS,2,8,1,31,31,31,29,10,11,11,11,0,2,1174,0,0,0,0,30
165,166,MemResp,3,166,79,165,1,MS,2,15,1,31,31,31,30,10,11,11,11,k,2,1140,0,0,0,1,30
166,167,MemResp,3,167,80,166,1,ML,2,11,1,31,31,32,30,10,11,11,11,h,2,767,1,0,0,0,30
167,168,MemResp,3,168,81,167,1,MS,2,14,1,31,31,32,31,10,11,11,11,k,2,995,0,0,0,1,30
168,169,MemResp,3,169,82,168,1,NS,2,5,1,31,32,32,31,10,11,11,11,k,2,812,0,0,0,1,30
169,170,MemResp,3,170,83,169,1,MS,2,15,1,31,32,32,32,10,11,11,11,h,2,748,1,0,0,0,30
170,171,MemResp,3,171,84,170,1,NL,2,4,1,32,32,32,32,10,11,11,11,k,2,720,0,0,0,1,30
171,172,MemResp,3,172,85,171,1,NS,1,,1,32,32,32,32,11,11,11,11,k,1,713,0,0,1,0,30
0,1,MemResp,8,1,0,0,0,NL,2,1,,1,0,0,0,0,0,0,0,h,2,1506,1,0,0,0,31
1,2,MemResp,8,2,1,1,0,NL,2,3,3,2,0,0,0,0,0,0,0,h,2,1384,1,0,0,0,31
2,3,MemRespITI,8,3,2,2,0,MS,1,5,3,2,0,0,0,0,0,1,0,0,1,1384,0,0,0,0,31
3,4,MemResp,8,4,3,3,0,NL,1,5,2,2,0,0,0,0,1,1,0,k,1,1305,0,0,1,0,31
4,5,MemRespITI,8,5,4,4,0,MS,1,5,3,2,0,0,0,0,1,2,0,0,1,1305,0,0,0,0,31
5,6,MemResp,8,6,5,5,0,NS,1,5,1,2,0,0,0,1,1,2,0,h,1,1470,0,1,0,0,31
6,7,MemResp,8,7,6,6,0,NS,2,5,3,2,1,0,0,1,1,2,0,h,2,1974,1,0,0,0,31
7,8,MemResp,8,8,7,7,0,NL,2,3,3,3,1,0,0,1,1,2,0,h,2,1128,1,0,0,0,31
8,9,MemResp,8,9,8,8,0,MS,2,13,3,3,1,0,1,1,1,2,0,h,2,1381,1,0,0,0,31
9,10,MemRespITI,8,10,9,9,0,MS,1,9,3,3,1,0,1,1,1,3,0,0,1,1381,0,0,0,0,31
10,11,MemResp,8,11,10,10,0,ML,2,9,2,3,1,1,1,1,1,3,0,h,2,1739,1,0,0,0,31
11,12,MemResp,8,12,11,11,0,NL,2,3,2,4,1,1,1,1,1,3,0,k,2,1098,0,0,0,1,31
12,13,MemResp,8,13,12,12,0,NL,2,1,2,5,1,1,1,1,1,3,0,k,2,1744,0,0,0,1,31
13,14,MemResp,8,14,13,13,0,NL,2,1,2,6,1,1,1,1,1,3,0,k,2,1533,0,0,0,1,31
14,15,MemResp,8,15,14,14,0,MS,2,16,2,6,1,1,2,1,1,3,0,h,2,1360,1,0,0,0,31
15,16,MemResp,8,16,15,15,0,ML,2,11,2,6,1,2,2,1,1,3,0,k,2,1443,0,0,0,1,31
16,17,MemResp,8,17,16,16,0,NS,2,8,2,6,2,2,2,1,1,3,0,h,2,1274,1,0,0,0,31
17,18,MemResp,8,18,17,17,0,ML,2,10,2,6,2,3,2,1,1,3,0,h,2,1357,1,0,0,0,31
18,19,MemResp,8,19,18,18,0,NL,2,3,2,7,2,3,2,1,1,3,0,h,2,1715,1,0,0,0,31
19,20,MemResp,8,20,19,19,0,NL,1,14,2,7,2,3,2,1,2,3,0,h,1,1699,0,1,0,0,31
20,21,MemResp,8,21,20,20,0,MS,2,14,1,7,2,3,3,1,2,3,0,h,2,1846,1,0,0,0,31
21,22,MemResp,8,22,21,21,0,ML,2,11,1,7,2,4,3,1,2,3,0,h,2,1261,1,0,0,0,31
22,23,MemResp,8,23,22,22,0,NS,1,16,1,7,2,4,3,2,2,3,0,h,1,1999,0,1,0,0,31
23,24,MemRespITI,8,24,23,23,0,MS,2,16,3,7,2,4,4,2,2,3,0,s,2,1999,0,0,0,0,31
