,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
138,139,MemResp,3,139,58,138,1,OM,1,2,11,24,27,26,25,9,9,10,9,s,1,0,1,0,0,707,49
139,140,MemResp,3,140,59,139,1,YM,1,1,1,25,27,26,25,9,9,10,9,l,2,0,0,0,1,730,49
140,141,MemResp,3,141,60,140,1,OM,1,2,3,25,27,27,25,9,9,10,9,a,2,1,0,0,0,610,49
141,142,MemResp,3,142,61,141,1,YM,1,1,1,26,27,27,25,9,9,10,9,k,2,0,0,0,1,705,49
142,143,MemResp,3,143,62,142,1,OF,2,2,4,26,27,27,26,9,9,10,9,a,2,1,0,0,0,771,49
143,144,MemResp,3,144,63,143,1,OM,1,2,3,26,27,28,26,9,9,10,9,s,2,1,0,0,0,696,49
144,145,MemResp,3,145,64,144,1,YM,1,1,1,27,27,28,26,9,9,10,9,l,2,0,0,0,1,671,49
145,146,MemResp,3,146,65,145,1,YM,1,1,9,27,27,28,26,10,9,10,9,k,1,0,0,1,0,703,49
146,147,MemResp,3,147,66,146,1,YM,1,1,1,28,27,28,26,10,9,10,9,l,2,0,0,0,1,878,49
147,148,MemResp,3,148,67,147,1,YF,2,1,2,28,28,28,26,10,9,10,9,k,2,0,0,0,1,728,49
148,149,MemResp,3,149,68,148,1,OF,2,2,4,28,28,28,27,10,9,10,9,a,2,1,0,0,0,957,49
149,150,MemResp,3,150,69,149,1,YM,1,1,1,29,28,28,27,10,9,10,9,l,2,0,0,0,1,739,49
150,151,MemResp,3,151,70,150,1,YF,2,1,2,29,29,28,27,10,9,10,9,l,2,0,0,0,1,882,49
151,152,MemResp,3,152,71,151,1,OF,2,2,4,29,29,28,28,10,9,10,9,a,2,1,0,0,0,716,49
152,153,MemResp,3,153,72,152,1,YM,1,1,1,30,29,28,28,10,9,10,9,k,2,0,0,0,1,823,49
153,154,MemResp,3,154,73,153,1,OF,2,2,4,30,29,28,29,10,9,10,9,a,2,1,0,0,0,882,49
154,155,MemResp,3,155,74,154,1,OF,2,2,12,30,29,28,29,10,9,10,10,s,1,0,1,0,0,778,49
155,156,MemResp,3,156,75,155,1,OM,1,2,3,30,29,29,29,10,9,10,10,a,2,1,0,0,0,655,49
156,157,MemResp,3,157,76,156,1,YF,2,1,2,30,30,29,29,10,9,10,10,l,2,0,0,0,1,693,49
157,158,MemResp,3,158,77,157,1,OF,2,2,4,30,30,29,30,10,9,10,10,a,2,1,0,0,0,769,49
158,159,MemResp,3,159,78,158,1,OM,1,2,3,30,30,30,30,10,9,10,10,s,2,1,0,0,0,744,49
159,160,MemResp,3,160,79,159,1,YF,2,1,10,30,30,30,30,10,10,10,10,a,1,0,1,0,0,834,49
0,1,MemRespITI,4,1,0,0,0,OM,1,2,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,,50
1,2,MemRespITI,4,2,1,1,0,YM,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,,50
2,3,MemResp,4,3,2,2,0,OF,2,2,4,1,0,1,1,0,0,0,0,s,2,1,0,0,0,1743,50
3,4,MemRespITI,4,4,3,3,0,YM,1,1,9,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1743,50
4,5,MemResp,4,5,4,4,0,YM,1,1,1,2,0,1,1,1,0,0,0,a,2,1,0,0,0,1123,50
5,6,MemResp,4,6,5,5,0,OF,2,2,4,2,0,1,2,1,0,0,0,a,2,1,0,0,0,1550,50
6,7,MemResp,4,7,6,6,0,OF,2,2,4,2,0,1,3,1,0,0,0,a,2,1,0,0,0,1274,50
7,8,MemResp,4,8,7,7,0,YF,2,1,2,2,1,1,3,1,0,0,0,a,2,1,0,0,0,880,50
8,9,MemResp,4,9,8,8,0,YM,1,1,9,2,1,1,3,2,0,0,0,s,1,0,1,0,0,1527,50
9,10,MemRespITI,4,10,9,9,0,OF,2,2,12,2,1,1,3,2,0,0,1,0,1,0,0,0,0,1527,50
10,11,MemResp,4,11,10,10,0,OM,1,2,3,2,1,2,3,2,0,0,1,a,2,1,0,0,0,603,50
11,12,MemResp,4,12,11,11,0,YF,2,1,2,2,2,2,3,2,0,0,1,s,2,1,0,0,0,933,50
12,13,MemResp,4,13,12,12,0,OF,2,2,4,2,2,2,4,2,0,0,1,a,2,1,0,0,0,881,50
