,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
9,9,Resp,4,10,9,9,0,2,6,0,2,2,OFN,3,4,m,b,0,989,2,4,2
10,10,Resp,4,11,10,10,0,2,6,1,2,4,OMN,4,2,b,b,1,600,1,5,2
11,11,Resp,4,12,11,11,0,2,6,2,2,4,OMN,4,2,b,b,1,805,1,6,2
12,12,Resp,4,13,12,12,0,3,6,2,2,3,YMN,2,3,n,n,1,992,1,7,2
13,13,Resp,4,14,13,13,0,3,7,2,2,1,YFN,1,1,v,v,1,669,1,8,2
14,14,Resp,4,15,14,14,0,3,7,2,3,2,OFN,3,4,m,m,1,633,1,9,2
15,15,Resp,4,16,15,15,0,3,8,2,3,1,YFN,1,1,v,v,1,795,1,10,2
16,16,Resp,4,17,16,16,0,3,8,2,4,2,OFN,3,4,m,m,1,895,1,11,2
17,17,Resp,4,18,17,17,0,4,8,2,4,3,YMN,2,3,n,n,1,635,1,12,2
18,18,Resp,4,19,18,18,0,4,8,2,5,2,OFN,3,4,m,m,1,742,1,13,2
19,19,Resp,4,20,19,19,0,4,8,2,6,2,OFN,3,4,m,m,1,609,1,14,2
20,20,Resp,4,21,20,20,0,5,8,2,6,3,YMN,2,3,n,n,1,718,1,15,2
21,21,Resp,4,22,21,21,0,5,8,3,6,4,OMN,4,2,b,b,1,594,1,16,2
22,22,Resp,4,23,22,22,0,5,8,3,7,2,OFN,3,4,m,m,1,662,1,17,2
23,23,Resp,4,24,23,23,0,5,8,3,8,2,OFN,3,4,m,m,1,610,1,18,2
24,24,Resp,4,25,24,24,0,5,9,3,8,1,YFN,1,1,v,v,1,631,1,19,2
25,25,Resp,4,26,25,25,0,5,9,4,8,4,OMN,4,2,b,b,1,1012,1,20,2
26,26,Resp,4,27,26,26,0,6,9,4,8,3,YMN,2,3,n,n,1,648,1,21,2
27,27,Resp,4,28,27,27,0,7,9,4,8,3,YMN,2,3,n,n,1,627,1,22,2
28,28,Resp,4,29,28,28,0,7,9,5,8,4,OMN,4,2,b,b,1,559,1,23,2
29,29,Resp,4,30,29,29,0,7,10,5,8,1,YFN,1,1,v,v,1,843,1,24,2
30,30,Resp,4,31,30,30,0,7,10,6,8,4,OMN,4,2,b,b,1,615,1,25,2
31,31,Resp,4,32,31,31,0,7,10,7,8,4,OMN,4,2,b,b,1,619,1,26,2
32,32,Resp,4,33,32,32,0,7,10,8,8,4,OMN,4,2,b,b,1,687,1,27,2
33,33,Resp,4,34,33,33,0,8,10,8,8,3,YMN,2,3,n,n,1,514,1,28,2
34,34,Resp,4,35,34,34,0,8,10,8,9,2,OFN,3,4,m,m,1,526,1,29,2
35,35,Resp,4,36,35,35,0,8,10,9,9,4,OMN,4,2,b,b,1,705,1,30,2
36,36,Resp,4,37,36,36,0,8,11,9,9,1,YFN,1,1,v,v,1,509,1,31,2
37,37,Resp,4,38,37,37,0,8,11,9,10,2,OFN,3,4,m,m,1,681,1,32,2
38,38,Resp,4,39,38,38,0,8,11,9,11,2,OFN,3,4,m,m,1,597,1,33,2
39,39,Resp,4,40,39,39,0,8,11,10,11,4,OMN,4,2,b,b,1,632,1,34,2
40,40,Resp,4,41,40,40,0,9,11,10,11,3,YMN,2,3,n,n,1,653,1,35,2
41,41,RespITI,4,42,41,41,0,9,11,11,11,4,OMN,4,2,b,0,0,653,3,35,2
42,42,Resp,4,43,42,42,0,9,11,12,11,4,OMN,4,2,b,b,1,620,1,36,2
43,43,Resp,4,44,43,43,0,9,12,12,11,1,YFN,1,1,v,v,1,417,1,37,2
44,44,Resp,4,45,44,44,0,10,12,12,11,3,YMN,2,3,n,n,1,645,1,38,2
45,45,Resp,4,46,45,45,0,10,12,13,11,4,OMN,4,2,b,b,1,626,1,39,2
46,46,Resp,4,47,46,46,0,10,13,13,11,1,YFN,1,1,v,v,1,614,1,40,2
47,47,Resp,4,48,47,47,0,10,13,13,12,2,OFN,3,4,m,m,1,489,1,41,2
48,48,Resp,4,49,48,48,0,10,14,13,12,1,YFN,1,1,v,n,0,645,2,41,2
49,49,Resp,4,50,49,49,0,10,15,13,12,1,YFN,1,1,v,v,1,521,1,42,2
50,50,Resp,4,51,50,50,0,10,15,13,13,2,OFN,3,4,m,m,1,533,1,43,2
51,51,Resp,4,52,51,51,0,10,16,13,13,1,YFN,1,1,v,v,1,792,1,44,2
52,52,Resp,4,53,52,52,0,11,16,13,13,3,YMN,2,3,n,n,1,628,1,45,2
53,53,Resp,4,54,53,53,0,11,16,13,14,2,OFN,3,4,m,m,1,584,1,46,2
54,54,Resp,4,55,54,54,0,12,16,13,14,3,YMN,2,3,n,n,1,597,1,47,2
55,55,Resp,4,56,55,55,0,13,16,13,14,3,YMN,2,3,n,n,1,535,1,48,2
56,56,Resp,4,57,56,56,0,13,16,14,14,4,OMN,4,2,b,b,1,523,1,49,2
57,57,Resp,4,58,57,57,0,13,17,14,14,1,YFN,1,1,v,v,1,473,1,50,2
58,58,Resp,4,59,58,58,0,13,17,14,15,2,OFN,3,4,m,m,1,724,1,51,2
59,59,Resp,4,60,59,59,0,13,17,15,15,4,OMN,4,2,b,m,0,575,2,51,2
60,60,Resp,4,61,60,60,0,13,17,15,16,2,OFN,3,4,m,m,1,619,1,52,2
61,61,Resp,4,62,61,61,0,13,18,15,16,1,YFN,1,1,v,v,1,646,1,53,2
62,62,Resp,4,63,62,62,0,13,18,15,17,2,OFN,3,4,m,m,1,580,1,54,2
63,63,Resp,4,64,63,63,0,14,18,15,17,3,YMN,2,3,n,n,1,567,1,55,2
64,64,Resp,4,65,64,64,0,14,19,15,17,1,YFN,1,1,v,v,1,579,1,56,2
65,65,Resp,4,66,65,65,0,14,19,16,17,4,OMN,4,2,b,b,1,711,1,57,2
66,66,Resp,4,67,66,66,0,15,19,16,17,3,YMN,2,3,n,n,1,519,1,58,2
67,67,Resp,4,68,67,67,0,15,20,16,17,1,YFN,1,1,v,v,1,583,1,59,2
68,68,Resp,4,69,68,68,0,16,20,16,17,3,YMN,2,3,n,n,1,669,1,60,2
69,69,Resp,4,70,69,69,0,16,21,16,17,1,YFN,1,1,v,v,1,605,1,61,2
70,70,Resp,4,71,70,70,0,16,21,16,18,2,OFN,3,4,m,m,1,578,1,62,2
71,71,RespITI,4,72,71,71,0,16,21,16,19,2,OFN,3,4,m,0,0,578,3,62,2
