,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
16,16,Resp,2,17,16,16,0,4,8,2,3,1,YFN,1,1,v,v,1,869,1,11,34
17,17,Resp,2,18,17,17,0,4,8,2,4,2,OFN,3,2,b,b,1,1231,1,12,34
18,18,Resp,2,19,18,18,0,4,9,2,4,1,YFN,1,1,v,v,1,745,1,13,34
19,19,Resp,2,20,19,19,0,4,9,2,5,2,OFN,3,2,b,b,1,654,1,14,34
20,20,Resp,2,21,20,20,0,4,9,3,5,4,OMN,4,4,m,m,1,854,1,15,34
21,21,Resp,2,22,21,21,0,4,9,4,5,4,OMN,4,4,m,n,0,1113,2,15,34
22,22,Resp,2,23,22,22,0,4,9,5,5,4,OMN,4,4,m,m,1,976,1,16,34
23,23,Resp,2,24,23,23,0,4,9,5,6,2,OFN,3,2,b,b,1,1014,1,17,34
24,24,Resp,2,25,24,24,0,5,9,5,6,3,YMN,2,3,n,n,1,880,1,18,34
25,25,Resp,2,26,25,25,0,5,10,5,6,1,YFN,1,1,v,v,1,1026,1,19,34
26,26,Resp,2,27,26,26,0,5,11,5,6,1,YFN,1,1,v,v,1,644,1,20,34
27,27,Resp,2,28,27,27,0,5,12,5,6,1,YFN,1,1,v,v,1,711,1,21,34
28,28,RespITI,2,29,28,28,0,5,12,6,6,4,OMN,4,4,m,0,0,711,3,21,34
29,29,Resp,2,30,29,29,0,5,12,6,7,2,OFN,3,2,b,b,1,678,1,22,34
30,30,Resp,2,31,30,30,0,6,12,6,7,3,YMN,2,3,n,n,1,716,1,23,34
31,31,Resp,2,32,31,31,0,6,12,7,7,4,OMN,4,4,m,m,1,644,1,24,34
32,32,Resp,2,33,32,32,0,6,13,7,7,1,YFN,1,1,v,v,1,926,1,25,34
33,33,Resp,2,34,33,33,0,7,13,7,7,3,YMN,2,3,n,n,1,850,1,26,34
34,34,Resp,2,35,34,34,0,8,13,7,7,3,YMN,2,3,n,n,1,618,1,27,34
35,35,Resp,2,36,35,35,0,8,13,8,7,4,OMN,4,4,m,m,1,578,1,28,34
36,36,Resp,2,37,36,36,0,8,13,8,8,2,OFN,3,2,b,b,1,986,1,29,34
37,37,Resp,2,38,37,37,0,9,13,8,8,3,YMN,2,3,n,n,1,818,1,30,34
38,38,Resp,2,39,38,38,0,9,14,8,8,1,YFN,1,1,v,v,1,728,1,31,34
39,39,Resp,2,40,39,39,0,9,14,9,8,4,OMN,4,4,m,m,1,776,1,32,34
40,40,Resp,2,41,40,40,0,10,14,9,8,3,YMN,2,3,n,n,1,661,1,33,34
41,41,Resp,2,42,41,41,0,10,15,9,8,1,YFN,1,1,v,v,1,743,1,34,34
42,42,Resp,2,43,42,42,0,10,15,10,8,4,OMN,4,4,m,m,1,771,1,35,34
43,43,Resp,2,44,43,43,0,10,16,10,8,1,YFN,1,1,v,v,1,750,1,36,34
44,44,Resp,2,45,44,44,0,10,16,11,8,4,OMN,4,4,m,m,1,964,1,37,34
45,45,Resp,2,46,45,45,0,10,16,11,9,2,OFN,3,2,b,b,1,679,1,38,34
46,46,Resp,2,47,46,46,0,10,16,12,9,4,OMN,4,4,m,m,1,688,1,39,34
47,47,Resp,2,48,47,47,0,10,17,12,9,1,YFN,1,1,v,v,1,661,1,40,34
48,48,Resp,2,49,48,48,0,10,17,12,10,2,OFN,3,2,b,b,1,739,1,41,34
49,49,Resp,2,50,49,49,0,10,18,12,10,1,YFN,1,1,v,v,1,753,1,42,34
50,50,Resp,2,51,50,50,0,10,18,13,10,4,OMN,4,4,m,m,1,734,1,43,34
51,51,Resp,2,52,51,51,0,11,18,13,10,3,YMN,2,3,n,n,1,982,1,44,34
52,52,Resp,2,53,52,52,0,11,18,13,11,2,OFN,3,2,b,b,1,773,1,45,34
53,53,Resp,2,54,53,53,0,11,18,13,12,2,OFN,3,2,b,b,1,810,1,46,34
54,54,Resp,2,55,54,54,0,11,18,14,12,4,OMN,4,4,m,b,0,941,2,46,34
55,55,Resp,2,56,55,55,0,11,19,14,12,1,YFN,1,1,v,v,1,814,1,47,34
56,56,Resp,2,57,56,56,0,11,19,14,13,2,OFN,3,2,b,b,1,651,1,48,34
57,57,Resp,2,58,57,57,0,11,19,14,14,2,OFN,3,2,b,b,1,617,1,49,34
58,58,Resp,2,59,58,58,0,11,19,15,14,4,OMN,4,4,m,b,0,790,2,49,34
