,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
82,82,Resp,4,83,82,82,0,19,23,19,22,1,YFN,1,1,v,v,1,599,1,73,19
83,83,Resp,4,84,83,83,0,20,23,19,22,3,YMN,2,3,n,n,1,729,1,74,19
84,84,Resp,4,85,84,84,0,21,23,19,22,3,YMN,2,3,n,n,1,568,1,75,19
85,85,Resp,4,86,85,85,0,21,23,20,22,4,OMN,4,2,b,m,0,656,2,75,19
86,86,Resp,4,87,86,86,0,21,23,20,23,2,OFN,3,4,m,m,1,545,1,76,19
87,87,Resp,4,88,87,87,0,22,23,20,23,3,YMN,2,3,n,n,1,632,1,77,19
88,88,Resp,4,89,88,88,0,22,23,20,24,2,OFN,3,4,m,m,1,513,1,78,19
89,89,Resp,4,90,89,89,0,22,23,20,25,2,OFN,3,4,m,n,0,633,2,78,19
90,90,Resp,4,91,90,90,0,22,23,21,25,4,OMN,4,2,b,b,1,623,1,79,19
91,91,Resp,4,92,91,91,0,23,23,21,25,3,YMN,2,3,n,v,0,577,2,79,19
92,92,Resp,4,93,92,92,0,24,23,21,25,3,YMN,2,3,n,n,1,624,1,80,19
93,93,Resp,4,94,93,93,0,25,23,21,25,3,YMN,2,3,n,n,1,452,1,81,19
94,94,Resp,4,95,94,94,0,25,23,21,26,2,OFN,3,4,m,m,1,543,1,82,19
95,95,Resp,4,96,95,95,0,25,23,22,26,4,OMN,4,2,b,b,1,834,1,83,19
96,96,Resp,4,97,96,96,0,25,23,23,26,4,OMN,4,2,b,b,1,734,1,84,19
97,97,Resp,4,98,97,97,0,25,24,23,26,1,YFN,1,1,v,v,1,428,1,85,19
98,98,Resp,4,99,98,98,0,25,24,24,26,4,OMN,4,2,b,b,1,661,1,86,19
99,99,Resp,4,100,99,99,0,25,25,24,26,1,YFN,1,1,v,v,1,567,1,87,19
100,100,Resp,4,101,100,100,0,25,25,24,27,2,OFN,3,4,m,m,1,544,1,88,19
101,101,Resp,4,102,101,101,0,25,26,24,27,1,YFN,1,1,v,n,0,500,2,88,19
102,102,Resp,4,103,102,102,0,25,26,25,27,4,OMN,4,2,b,b,1,513,1,89,19
103,103,Resp,4,104,103,103,0,25,26,25,28,2,OFN,3,4,m,m,1,757,1,90,19
104,104,Resp,4,105,104,104,0,26,26,25,28,3,YMN,2,3,n,n,1,449,1,91,19
105,105,Resp,4,106,105,105,0,27,26,25,28,3,YMN,2,3,n,n,1,438,1,92,19
106,106,Resp,4,107,106,106,0,27,26,26,28,4,OMN,4,2,b,b,1,560,1,93,19
107,107,Resp,4,108,107,107,0,27,26,26,29,2,OFN,3,4,m,m,1,602,1,94,19
108,108,Resp,4,109,108,108,0,27,26,26,30,2,OFN,3,4,m,m,1,663,1,95,19
109,109,Resp,4,110,109,109,0,28,26,26,30,3,YMN,2,3,n,n,1,676,1,96,19
110,110,Resp,4,111,110,110,0,28,26,27,30,4,OMN,4,2,b,b,1,481,1,97,19
111,111,Resp,4,112,111,111,0,28,27,27,30,1,YFN,1,1,v,v,1,513,1,98,19
112,112,Resp,4,113,112,112,0,29,27,27,30,3,YMN,2,3,n,m,0,570,2,98,19
113,113,Resp,4,114,113,113,0,29,28,27,30,1,YFN,1,1,v,v,1,667,1,99,19
