,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,YMNCounter,YFNCounter,OMNCounter,OFNCounter,Action,Category,PositiveTransfer,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,ACCCount,subject
71,71,Resp,3,72,71,71,0,17,19,16,20,1,YFN,1,1,1,v,v,1,737,1,54,2
72,72,Resp,3,73,72,72,0,17,19,17,20,4,OMN,1,4,2,b,b,1,534,1,55,2
73,73,Resp,3,74,73,73,0,17,19,18,20,4,OMN,1,4,2,b,b,1,497,1,56,2
74,74,Resp,3,75,74,74,0,18,19,18,20,2,YMN,0,2,3,n,m,0,701,2,56,2
75,75,Resp,3,76,75,75,0,19,19,18,20,2,YMN,0,2,3,n,m,0,1121,2,56,2
76,76,Resp,3,77,76,76,0,19,19,18,21,3,OFN,0,3,4,m,n,0,993,2,56,2
77,77,Resp,3,78,77,77,0,19,19,19,21,4,OMN,1,4,2,b,b,0,1250,3,56,2
78,78,RespITI,3,79,77,77,0,19,19,19,21,4,OMN,1,4,2,b,b,0,1250,3,56,2
79,79,Resp,3,80,78,78,0,20,19,19,21,2,YMN,0,2,3,n,b,0,456,2,56,2
80,80,Resp,3,81,79,79,0,20,19,20,21,4,OMN,1,4,2,b,b,1,875,1,57,2
81,81,Resp,3,82,80,80,0,20,20,20,21,1,YFN,1,1,1,v,v,1,624,1,58,2
82,82,Resp,3,83,81,81,0,20,21,20,21,1,YFN,1,1,1,v,v,1,594,1,59,2
83,83,Resp,3,84,82,82,0,20,22,20,21,1,YFN,1,1,1,v,v,1,759,1,60,2
84,84,Resp,3,85,83,83,0,20,23,20,21,1,YFN,1,1,1,v,v,1,533,1,61,2
85,85,Resp,3,86,84,84,0,20,23,21,21,4,OMN,1,4,2,b,b,1,840,1,62,2
86,86,Resp,3,87,85,85,0,20,23,21,22,3,OFN,0,3,4,m,m,1,1033,1,63,2
87,87,Resp,3,88,86,86,0,20,23,22,22,4,OMN,1,4,2,b,b,1,1066,1,64,2
88,88,RespITI,3,89,87,87,0,21,23,22,22,2,YMN,0,2,3,n,0,0,1066,3,64,2
89,89,Resp,3,90,88,88,0,22,23,22,22,2,YMN,0,2,3,n,n,1,539,1,65,2
90,90,Resp,3,91,89,89,0,22,23,23,22,4,OMN,1,4,2,b,b,1,777,1,66,2
91,91,Resp,3,92,90,90,0,22,23,24,22,4,OMN,1,4,2,b,b,1,1017,1,67,2
92,92,Resp,3,93,91,91,0,22,23,24,23,3,OFN,0,3,4,m,m,1,1213,1,68,2
93,93,Resp,3,94,92,92,0,22,23,24,24,3,OFN,0,3,4,m,m,1,605,1,69,2
94,94,Resp,3,95,93,93,0,22,24,24,24,1,YFN,1,1,1,v,v,1,849,1,70,2
95,95,Resp,3,96,94,94,0,22,25,24,24,1,YFN,1,1,1,v,v,1,533,1,71,2
96,96,Resp,3,97,95,95,0,22,25,24,25,3,OFN,0,3,4,m,m,1,979,1,72,2
97,97,Resp,3,98,96,96,0,22,26,24,25,1,YFN,1,1,1,v,n,0,1231,2,72,2
98,98,Resp,3,99,97,97,0,23,26,24,25,2,YMN,0,2,3,n,n,1,561,1,73,2
99,99,Resp,3,100,98,98,0,23,27,24,25,1,YFN,1,1,1,v,v,1,599,1,74,2
100,100,Resp,3,101,99,99,0,24,27,24,25,2,YMN,0,2,3,n,n,1,1088,1,75,2
101,101,Resp,3,102,100,100,0,24,27,25,25,4,OMN,1,4,2,b,b,1,809,1,76,2
102,102,Resp,3,103,101,101,0,25,27,25,25,2,YMN,0,2,3,n,n,1,1005,1,77,2
103,103,Resp,3,104,102,102,0,26,27,25,25,2,YMN,0,2,3,n,n,1,806,1,78,2
104,104,Resp,3,105,103,103,0,26,27,25,26,3,OFN,0,3,4,m,m,1,701,1,79,2
105,105,Resp,3,106,104,104,0,26,28,25,26,1,YFN,1,1,1,v,v,1,718,1,80,2
106,106,Resp,3,107,105,105,0,27,28,25,26,2,YMN,0,2,3,n,m,0,921,2,80,2
107,107,Resp,3,108,106,106,0,28,28,25,26,2,YMN,0,2,3,n,n,1,526,1,81,2
108,108,Resp,3,109,107,107,0,28,29,25,26,1,YFN,1,1,1,v,v,1,601,1,82,2
109,109,Resp,3,110,108,108,0,28,29,26,26,4,OMN,1,4,2,b,b,1,392,1,83,2
110,110,Resp,3,111,109,109,0,29,29,26,26,2,YMN,0,2,3,n,n,1,1050,1,84,2
111,111,Resp,3,112,110,110,0,29,29,27,26,4,OMN,1,4,2,b,b,1,1200,1,85,2
112,112,Resp,3,113,111,111,0,29,29,27,27,3,OFN,0,3,4,m,m,1,900,1,86,2
113,113,Resp,3,114,112,112,0,29,29,28,27,4,OMN,1,4,2,b,b,1,769,1,87,2
114,114,RespITI,3,115,113,113,0,29,29,28,28,3,OFN,0,3,4,m,0,0,769,3,87,2
115,115,Resp,3,116,114,114,0,29,29,28,29,3,OFN,0,3,4,m,n,0,642,2,87,2
116,116,Resp,3,117,115,115,0,29,29,29,29,4,OMN,1,4,2,b,b,1,1172,1,88,2
117,117,Resp,3,118,116,116,0,30,29,29,29,2,YMN,0,2,3,n,n,1,564,1,89,2
118,118,Resp,3,119,117,117,0,30,30,29,29,1,YFN,1,1,1,v,v,1,667,1,90,2
119,119,Resp,3,120,118,118,0,30,30,29,30,3,OFN,0,3,4,m,m,1,795,1,91,2
120,120,Resp,3,121,119,119,0,30,30,30,30,4,OMN,1,4,2,b,b,1,917,1,92,2
0,0,Resp,3,1,0,0,0,0,0,0,1,3,OFN,0,3,3,n,n,1,655,1,1,3
1,1,Resp,3,2,1,1,0,0,0,0,2,3,OFN,0,3,3,n,n,1,835,1,2,3
2,2,Resp,3,3,2,2,0,0,0,1,2,4,OMN,1,4,2,b,b,1,730,1,3,3
3,3,Resp,3,4,3,3,0,0,1,1,2,1,YFN,1,1,1,v,v,1,586,1,4,3
4,4,Resp,3,5,4,4,0,0,2,1,2,1,YFN,1,1,1,v,v,1,665,1,5,3
5,5,Resp,3,6,5,5,0,0,3,1,2,1,YFN,1,1,1,v,v,1,616,1,6,3
6,6,Resp,3,7,6,6,0,0,4,1,2,1,YFN,1,1,1,v,v,1,486,1,7,3
7,7,Resp,3,8,7,7,0,1,4,1,2,2,YMN,0,2,4,m,m,1,621,1,8,3
8,8,Resp,3,9,8,8,0,1,4,1,3,3,OFN,0,3,3,n,n,1,646,1,9,3
9,9,Resp,3,10,9,9,0,1,4,1,4,3,OFN,0,3,3,n,n,1,661,1,10,3
10,10,Resp,3,11,10,10,0,1,4,1,5,3,OFN,0,3,3,n,n,1,633,1,11,3
11,11,Resp,3,12,11,11,0,2,4,1,5,2,YMN,0,2,4,m,m,1,617,1,12,3
12,12,Resp,3,13,12,12,0,2,5,1,5,1,YFN,1,1,1,v,v,1,695,1,13,3
13,13,Resp,3,14,13,13,0,3,5,1,5,2,YMN,0,2,4,m,m,1,629,1,14,3
14,14,Resp,3,15,14,14,0,3,5,2,5,4,OMN,1,4,2,b,b,1,764,1,15,3
15,15,Resp,3,16,15,15,0,3,6,2,5,1,YFN,1,1,1,v,v,1,764,1,16,3
16,16,Resp,3,17,16,16,0,3,7,2,5,1,YFN,1,1,1,v,v,1,643,1,17,3
17,17,Resp,3,18,17,17,0,3,8,2,5,1,YFN,1,1,1,v,v,1,635,1,18,3
18,18,Resp,3,19,18,18,0,3,8,2,6,3,OFN,0,3,3,n,n,1,553,1,19,3
19,19,Resp,3,20,19,19,0,3,9,2,6,1,YFN,1,1,1,v,n,0,609,2,19,3
20,20,Resp,3,21,20,20,0,4,9,2,6,2,YMN,0,2,4,m,m,1,727,1,20,3
21,21,Resp,3,22,21,21,0,4,10,2,6,1,YFN,1,1,1,v,v,1,464,1,21,3
22,22,Resp,3,23,22,22,0,5,10,2,6,2,YMN,0,2,4,m,m,1,565,1,22,3
23,23,Resp,3,24,23,23,0,5,10,2,7,3,OFN,0,3,3,n,n,1,652,1,23,3
24,24,Resp,3,25,24,24,0,6,10,2,7,2,YMN,0,2,4,m,m,1,679,1,24,3
25,25,Resp,3,26,25,25,0,6,10,3,7,4,OMN,1,4,2,b,b,1,722,1,25,3
26,26,Resp,3,27,26,26,0,7,10,3,7,2,YMN,0,2,4,m,m,1,632,1,26,3
27,27,Resp,3,28,27,27,0,7,10,4,7,4,OMN,1,4,2,b,b,1,671,1,27,3
28,28,Resp,3,29,28,28,0,8,10,4,7,2,YMN,0,2,4,m,m,1,974,1,28,3
29,29,Resp,3,30,29,29,0,8,10,5,7,4,OMN,1,4,2,b,b,1,750,1,29,3
30,30,Resp,3,31,30,30,0,8,10,5,8,3,OFN,0,3,3,n,n,1,813,1,30,3
